month,code,country,population,totalVaccinations,vaccinationsPer100
Apr,CYM,Cayman Islands,65720,59473,90.49
Apr,CYP,Cyprus,875899,183225,20.92
Apr,CZE,Czechia,10708982,2209859,20.64
Apr,DEU,Germany,83783945,19244464,22.97
Apr,DJI,Djibouti,988002,,0.00
Apr,DMA,Dominica,71991,18112,25.16
Apr,DNK,Denmark,5792203,1438148,24.83
Apr,DOM,Dominican Republic,10847904,1101528,10.15
Apr,DZA,Algeria,43851043,,0.00
Apr,ECU,Ecuador,17643060,457460,2.59
Apr,EGY,Egypt,102334403,,0.00
Apr,ERI,Eritrea,3546427,,0.00
Apr,ESP,Spain,46754783,11073657,23.68
Apr,EST,Estonia,1326539,336062,25.33
Apr,ETH,Ethiopia,114963583,,0.00
Apr,FIN,Finland,5540718,1293219,23.34
Apr,FJI,Fiji,896444,,0.00
Apr,FLK,Falkland Islands,3483,4322,124.09
Apr,FRA,France,68147687,14894517,21.86
Apr,FRO,Faeroe Islands,48865,13131,26.87
Apr,FSM,Micronesia (country),115021,,0.00
Apr,GAB,Gabon,2225728,3925,0.18
Apr,GBR,United Kingdom,67886004,40107877,59.08
Apr,GEO,Georgia,3989175,22090,0.55
Apr,GGY,Guernsey,67052,37829,56.42
Apr,GHA,Ghana,31072945,742349,2.39
Apr,GIB,Gibraltar,33691,64931,192.73
Apr,GIN,Guinea,13132792,79450,0.60
Apr,GMB,Gambia,2416664,16735,0.69
Apr,GNB,Gambia,1967998,,0.00
Apr,GNQ,Equatorial Guinea,1402985,14080,1.00
Apr,GRC,Greece,10423056,2280934,21.88
Apr,GRD,Grenada,112519,,0.00
Apr,GRL,Greenland,56772,9996,17.61
Apr,GTM,Guatemala,17915567,143488,0.80
Apr,GUY,Guyana,786559,60172,7.65
Apr,HKG,Hong Kong,7496988,918667,12.25
Apr,HND,Honduras,9904608,57639,0.58
Apr,HRV,Croatia,4105268,595369,14.50
Apr,HTI,Haiti,11402533,,0.00
Apr,HUN,Hungary,9660350,4327732,44.80
Apr,IDN,Indonesia,273523621,15602574,5.70
Apr,IMN,Isle of Man,85032,62899,73.97
Apr,IND,India,1380004385,111179578,8.06
Apr,IRL,Ireland,4937796,1076216,21.80
Apr,IRN,Iran,83992953,,0.00
Apr,IRQ,Iraq,40222503,152962,0.38
Apr,ISL,Iceland,341250,89190,26.14
Apr,ISR,Israel,8655541,10290033,118.88
Apr,ITA,Italy,60461828,13585908,22.47
Apr,JAM,Jamaica,2961161,47728,1.61
Apr,JEY,Jersey,101073,68095,67.37
Apr,JOR,Jordan,10203140,524533,5.14
Apr,JPN,Japan,126476458,1746181,1.38
Apr,KAZ,Kazakhstan,18776707,443974,2.36
Apr,KEN,Kenya,53771300,422021,0.78
Apr,KGZ,Kyrgyzstan,6524191,2100,0.03
Apr,KHM,Cambodia,16718971,1446457,8.65
Apr,KNA,Saint Kitts and Nevis,53192,10456,19.66
Apr,KOR,South Korea,51269183,1299632,2.53
Apr,KWT,Kuwait,4270563,,0.00
Apr,LAO,Laos,7275556,,0.00
Apr,LBN,Lebanon,6825442,296165,4.34
Apr,LBR,Liberia,5057677,,0.00
Apr,LBY,Libya,6871287,,0.00
Apr,LCA,Saint Lucia,183629,23257,12.67
Apr,LIE,Liechtenstein,38137,7414,19.44
Apr,LKA,Sri Lanka,21413250,925242,4.32
Apr,LSO,Lesotho,2142252,,0.00
Apr,LTU,Lithuania,2722291,701986,25.79
Apr,LUX,Luxembourg,625976,135091,21.58
Apr,LVA,Latvia,1886202,183599,9.73
Apr,MAC,Macao,649342,67431,10.38
Apr,MCO,Monaco,39244,20510,52.26
Apr,MDA,Moldova,4033963,71780,1.78
Apr,MDG,Madagascar,27691019,,0.00
Apr,MDV,Maldives,540542,283753,52.49
Apr,MEX,Mexico,128932753,12252769,9.50
Apr,MHL,Marshall Islands,59194,,0.00
Apr,MKD,North Macedonia,2083380,29263,1.40
Apr,MLI,Mali,20250834,643,0.00
Apr,MLT,Malta,441539,249400,56.48
Apr,MMR,Myanmar,54409794,,0.00
Apr,MNE,Montenegro,628062,44979,7.16
Apr,MNG,Mongolia,3278292,627168,19.13
Apr,MOZ,Mozambique,31255435,,0.00
Apr,MRT,Mauritania,4649660,2930,0.06
Apr,MUS,Mauritius,1271767,,0.00
Apr,MWI,Malawi,19129955,229220,1.20
Apr,MYS,Malaysia,32365998,1050138,3.24
Apr,NAM,Namibia,2540916,2526,0.10
Apr,NER,Niger,24206636,,0.00
Apr,NGA,Nigeria,206139587,964387,0.47
Apr,NIC,Nicaragua,6624554,,0.00
Apr,NLD,Netherlands,17134873,3783912,22.08
Apr,NOR,Norway,5421242,1170443,21.59
Apr,NPL,Nepal,29136808,,0.00
Apr,NZL,New Zealand,4822233,90286,1.87
Apr,OMN,Oman,5106622,188029,3.68
Apr,PAK,Pakistan,220892331,,0.00
Apr,PAN,Panama,4314768,518629,12.02
Apr,PER,Peru,32971846,1075767,3.26
Apr,PHL,Philippines,109581085,1255716,1.15
Apr,PNG,Papua New Guinea,8947027,250,0.00
Apr,POL,Poland,37846605,7970164,21.06
Apr,PRT,Portugal,10196707,2235317,21.92
Apr,PRY,Paraguay,7132530,48684,0.68
Apr,PSE,Palestine,5101416,143142,2.81
Apr,QAT,Qatar,2881060,1131631,39.28
Apr,ROU,Romania,19237682,3838804,19.95
Apr,RUS,Russia,145934460,14583881,9.99
Apr,RWA,Rwanda,12952209,,0.00
Apr,SAU,Saudi Arabia,34813867,6499853,18.67
Apr,SDN,Sudan,43849269,63837,0.15
Apr,SEN,Senegal,16743930,351372,2.10
